Area,-2000,-1900,-1800,-1700,-1600,-1500,-1400,-1300,-1200,-1100,-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800
Orontes Subregion (AVRP + SHR),0.169334712,0.164563433,0.164563433,0.164563433,0.164533715,0.113046821,0.117787356,0.131679992,0.183313479,0.178823082,0.165376381,0.165103104,0.144607905,0.175806073,0.180284868,0.094836993,0.094130116,0.174558869,0.201232659,0.235684451,0.24399149,0.243581574,0.231533673,0.249532192,0.223521672,0.223521672,0.219501528,0.212421406,0.211426277,0.211609529,0.231691128,0.180805003,0.153633585,0.12292506,0.093726707,0.098530364,0.097665188,0.06676302,0.037151472
Euphrates Subregion (LCP + KHS/TS + SS),0.1741875,0.100947917,0.100947917,0.100947917,0.056020833,0.056020833,0.059322917,0.059322917,0.176885417,0.176885417,0.173583333,0.173583333,0.169333333,0.169333333,0.184072917,0.188260417,0.188260417,0.203677083,0.203677083,0.287145833,0.239177083,0.239177083,0.239010417,0.313723958,0.305140625,0.305140625,0.328286458,0.119166667,0.119166667,0.119166667,0.1206875,0.061416667,0.061416667,0.02334375,0.02334375,0.02434375,0.02434375,0.00246875,0.00246875
Jazira Subregion (NJS + THS + TBS),0.242030568,0.290829694,0.290829694,0.290829694,0.36075873,0.11844432,0.158699777,0.238830782,0.283712871,0.283712871,0.195939945,0.195939945,0.201358066,0.349993437,0.351030555,0.018062227,0.018062227,0.127073132,0.250653918,0.249693219,0.212033834,0.212033834,0.212033834,0.212033834,0.2367489,0.2367489,0.259554576,0.245174664,0.240491258,0.241353703,0.241353703,0.147375538,0.147375538,0.136342795,0.136342795,0.137106987,0.137106987,0.011528384,0.011528384
